Kota,AQI,PM2.5,Suhu,Kelembapan,Tekanan,Angin,Update
"Kemayoran, Indonesia",155,155,34.0,41.0,1008.0,2.5,2026-06-30T15:00:00+07:00
"Medan, Indonesia",50,50,32.2,64.7,1007.1,5.1,2026-06-30T15:00:00+07:00
